"Language","ISO_code","Phoible_code","Meaning","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","Meaning.f"
"Sawila","tpg; swt","NA","‘rough’","yes","CLICS","-8.3433","125.0922","Tanglapui","NA","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Hawu, Seba","hvn","NA","‘rough’","yes","CLICS","-10.455716","121.87756","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Hawu, Seba","hvn","NA","‘rough’","yes","CLICS","-10.455716","121.87756","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Tetun, Suai","tdt","NA","‘rough’","yes","CLICS","-9.314842","125.255396","Austronesian","NA","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Wetan","lex","NA","‘rough’","yes","CLICS","-7.89949","129.538524","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Kambera","xbr","xbr","‘rough’","yes","CLICS","-9.88","120.23","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Batuley","bay","NA","‘rough’","yes","CLICS","-5.735916","134.812861","Austronesian","NA","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Wolio","wlo","NA","‘rough’","yes","CLICS","-5.33","122.67","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Wolio","wlo","NA","‘rough’","yes","CLICS","-5.33","122.67","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Ngadha","nxg","nxg","‘rough’","no","CLICS","-8.8","120.98","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Buru","mhs","NA","‘rough’","yes","CLICS","-3.44","126.63","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","trill","FALSE","TRUE","‘rough’"
"Dobel","kvo","NA","‘rough’","yes","CLICS","-6.33","134.64","Austronesian","Malayo-Polynesian","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Irarutu","irh","irh","‘rough’","no","CLICS","-2.94","133.59","Austronesian","Malayo-Polynesian","N Coast New Guinea","NG and Oceania","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Alorese, Baranusa","aol","NA","‘rough’","yes","CLICS","-8.361888","124.094494","Austronesian","NA","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
